run_name,training_numeric_weight,scoring_numeric_weight,seed,eligible,rows,threshold,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,alerts,alerts_per_10000_events,mode,labels_used
train0.25_score0.05_seed7,0.25,0.05,7,True,9050126,0.017649389803409573,0.8495469565838089,0.668020060518394,0.9980002603903808,0.8003314076981902,0.7227594760702185,0.989687371574338,0.9733821437528738,0.21472457040075874,0.0019997396096192305,2728888,4959619,1356151,5468,4085039,4513.792404658233,retrospective_recall_floor,True
train0.25_score0.1_seed7,0.25,0.1,7,True,9050126,0.03529836609959602,0.8495519288902718,0.6680274193793185,0.9980002603903808,0.8003366889806214,0.7227667562551576,0.9891217248999584,0.9714256592055844,0.21471744537878992,0.0019997396096192305,2728888,4959664,1356106,5468,4084994,4513.742681593604,retrospective_recall_floor,True
train0.25_score0.25_seed7,0.25,0.25,7,True,9050126,0.08824529498815535,0.8495630889558886,0.6680439365241635,0.9980002603903808,0.8003485427794175,0.7227830965428093,0.9856161431101781,0.9595540082398957,0.21470145366281546,0.0019997396096192305,2728888,4959765,1356005,5468,4084893,4513.631080937437,retrospective_recall_floor,True
train0.25_score0.05_seed42,0.25,0.05,42,True,9050126,0.020653305575251576,0.7935460788059746,0.5942889299180679,0.9980002603903808,0.7449658145207413,0.6457093259525493,0.9682758052300154,0.9164674490308662,0.29497052615912234,0.0019997396096192305,2728888,4452804,1862966,5468,4591854,5073.801182436576,retrospective_recall_floor,True
train0.25_score0.1_seed42,0.25,0.1,42,True,9050126,0.04130628332495689,0.7935560234189004,0.5943005781656026,0.9980002603903808,0.7449749662850186,0.6457222246638787,0.9651243430414728,0.8990388405987991,0.2949562761151847,0.0019997396096192305,2728888,4452894,1862876,5468,4591764,5073.701736307318,retrospective_recall_floor,True
train0.25_score0.25_seed42,0.25,0.25,42,True,9050126,0.103263221681118,0.7969843734772312,0.5983436448977435,0.9980002603903808,0.7481434438190164,0.6501838647024617,0.9602353150696689,0.8840478535770491,0.29004365263459564,0.0019997396096192305,2728888,4483921,1831849,5468,4560737,5039.4182357240115,retrospective_recall_floor,True
train0.25_score0.05_seed123,0.25,0.05,123,True,9050126,0.012874603271484373,0.791409312975311,0.5917966547478396,0.9980002603903808,0.7430046063275334,0.642943549005633,0.9630393769532875,0.900193060588294,0.2980323855998556,0.0019997396096192305,2728888,4433466,1882304,5468,4611192,5095.168840743212,retrospective_recall_floor,True
train0.25_score0.1_seed123,0.25,0.1,123,True,9050126,0.02574917487800121,0.7923832220678475,0.5929300027072961,0.9980002603903808,0.7438972163908355,0.6442027424594077,0.9625839256833042,0.899019906139393,0.2966368312968965,0.0019997396096192305,2728888,4442280,1873490,5468,4602378,5085.4297498178485,retrospective_recall_floor,True
train0.25_score0.25_seed123,0.25,0.25,123,True,9050126,0.06437234580516814,0.7997682021222688,0.6016673196572053,0.9980002603903808,0.7507361519052741,0.6538288341547442,0.9606619661774021,0.8879255862032361,0.28605459033498687,0.0019997396096192305,2728888,4509115,1806655,5468,4535543,5011.579949273634,retrospective_recall_floor,True
train0.5_score0.05_seed7,0.5,0.05,7,True,9050126,0.013230609707534311,0.7836276533608483,0.5828943290320417,0.9980002603903808,0.7359487419924533,0.6329656120059174,0.9761633543158752,0.9332980878438812,0.30918304498105537,0.0019997396096192305,2728888,4363041,1952729,5468,4681617,5172.9854368878405,retrospective_recall_floor,True
train0.5_score0.1_seed7,0.5,0.1,7,True,9050126,0.026273943483829495,0.7836629014888854,0.5829340494879839,0.9980002603903808,0.7359804003800607,0.6330104809338118,0.9758153777542066,0.9324210993037472,0.3091325364919875,0.0019997396096192305,2728888,4363360,1952410,5468,4681298,5172.632955607469,retrospective_recall_floor,True
train0.5_score0.25_seed7,0.5,0.25,7,True,9050126,0.06560068577527998,0.7861062928847621,0.5857007180440356,0.9980002603903808,0.7381816101378215,0.6361279713241127,0.9698103210576199,0.9187381976430158,0.30563130069651046,0.0019997396096192305,2728888,4385473,1930297,5468,4659185,5148.199041648702,retrospective_recall_floor,True
train0.5_score0.05_seed42,0.5,0.05,42,True,9050126,0.013926265761256216,0.791095173702554,0.5914319319797687,0.9980009918240346,0.7427172872443575,0.6425382834245612,0.9808320801115259,0.9473633102766024,0.2984828453221064,0.001999008175965383,2728890,4430621,1885149,5466,4614039,5098.31465329875,retrospective_recall_floor,True
train0.5_score0.1_seed42,0.5,0.1,42,True,9050126,0.02701763808727264,0.7901936392929778,0.5903879887395515,0.9980006261072077,0.7418934848825917,0.6413752609014126,0.9801964864230301,0.9449824544206955,0.2997745326381423,0.0019993738927923067,2728889,4422463,1893307,5467,4622196,5107.327787480528,retrospective_recall_floor,True
train0.5_score0.25_seed42,0.5,0.25,42,True,9050126,0.06742756813764571,0.7907506481125235,0.5910326125211792,0.9980002603903808,0.7424021381188544,0.6420932750507036,0.9719289106402459,0.9227021050949376,0.29897621350999165,0.0019997396096192305,2728888,4427505,1888265,5468,4617153,5101.755489371087,retrospective_recall_floor,True
train0.5_score0.05_seed123,0.5,0.05,123,True,9050126,0.011908420361578463,0.7933276288087039,0.5940331309388043,0.9980006261072077,0.7447649071278049,0.6454262415958615,0.9848090851338985,0.9618019693632358,0.29528371045810725,0.0019993738927923067,2728889,4450826,1864944,5467,4593833,5075.987892323267,retrospective_recall_floor,True
train0.5_score0.1_seed123,0.5,0.1,123,True,9050126,0.023749753832817074,0.7956892533871904,0.5968098558805789,0.9980002603903808,0.7469433326207564,0.6484948981449248,0.9843581644452224,0.9595405409518346,0.2918994833567404,0.0019997396096192305,2728888,4472200,1843570,5468,4572458,5052.369436624419,retrospective_recall_floor,True
train0.5_score0.25_seed123,0.5,0.25,123,True,9050126,0.05931898206472396,0.7978132017167496,0.5993293560887246,0.9980002603903808,0.7489134957061264,0.6512669909857327,0.9772522633082485,0.9340849377762299,0.28885599063930445,0.0019997396096192305,2728888,4491422,1824348,5468,4553236,5031.129953328827,retrospective_recall_floor,True
train0.75_score0.05_seed7,0.75,0.05,7,True,9050126,0.012072437442839144,0.8068024688275058,0.61023255980368,0.9980002603903808,0.7573682689913933,0.6631297281977165,0.9827502171407835,0.9549972438439448,0.2759749009226112,0.0019997396096192305,2728888,4572776,1742994,5468,4471882,4941.237282221264,retrospective_recall_floor,True
