model,period,threshold_mode,rows,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,true_positives,true_negatives,false_positives,false_negatives,alerts_per_10000_events,window_recall,status
mixed_ae,development,retrospective_development_recall,9050126,0.7901936393,0.5903879887,0.9980006261,0.7418934849,0.6413752609,0.9801964867,0.9449824417,0.2997745326,2728889,4422463,1893307,5467,5107.3278,0.9983050847,historical_reference
mixed_ae,holdout,frozen_development_recall,3018656,0.555326,0.5290108173,0.9999602035,0.6919552527,0.2429251132,0.9968744886,0.9926808954,0.8883324454,1507611,168728,1342257,60,9440.8505,0.6551724138,historical_reference
