epoch,train_loss,train_numeric_loss,train_categorical_loss,validation_loss,validation_numeric_loss,validation_categorical_loss
1.0,0.015539742224357032,0.011109571400042673,0.019969913414077643,8.505701407557353e-05,9.270176087738946e-05,7.74122672737576e-05
2.0,0.0010569390741152387,0.002031513878789271,8.23642780217695e-05,2.8472080884967e-05,2.512467108317651e-05,3.1819483410799876e-05
3.0,0.0008602568701590144,0.0015900670486870743,0.00013044660995063906,7.894964801380411e-05,0.00012795327347703278,2.9946038921480067e-05
4.0,0.0005727894041296079,0.0010705381936596226,7.504059771928386e-05,6.168264371808618e-05,9.719845547806472e-05,2.616682650113944e-05
5.0,0.0019985045820626905,0.003630575814039885,0.0003664333997710309,0.0001267714542336762,0.0001914269960252568,6.21159269940108e-05
6.0,0.0012350578579168497,0.0023907786643833826,7.933706385225968e-05,6.162810313981026e-05,8.821434312267229e-05,3.504185224301182e-05
7.0,0.00048226571024799513,0.0009089899561506483,5.554144605787663e-05,4.105917832930572e-05,6.77204952808097e-05,1.4397859558812343e-05
8.0,0.00017874909938690844,0.00032561128362458927,3.188691797360709e-05,2.2012045519659296e-05,3.6866720620309934e-05,7.157371328503359e-06
9.0,0.0001238576102292775,0.00023293756597632335,1.4777652504141155e-05,1.2142870218667667e-05,2.1572315745288506e-05,2.713424919420504e-06
10.0,0.0001433756237471589,0.0002735195011513234,1.3231743747428596e-05,8.886548130249139e-06,1.531508496555034e-05,2.45801015807956e-06
11.0,9.792041548875805e-05,0.00018562148965028572,1.0219339857032218e-05,1.303476619796129e-05,2.47697280428838e-05,1.2998046940992936e-06
12.0,0.0011491969540797834,0.0021444844720323736,0.0001539095779547132,4.0298076783074066e-05,6.654542085016146e-05,1.4050735444470774e-05
13.0,0.0006506354352106684,0.001243954261323236,5.731664827215447e-05,5.697019514627755e-05,0.00010111337905982509,1.2827023965655826e-05
14.0,9.612972337735853e-05,0.00017995181433645734,1.2307643114721778e-05,2.9591403290396556e-05,5.670010796166025e-05,2.482697937011835e-06
15.0,9.399123420227169e-05,0.00017848713007081825,9.49534215831061e-06,6.818465408287011e-06,1.2194902410556097e-05,1.4420282923310879e-06
16.0,9.580566754417717e-05,0.00018389662775711464,7.714704098214258e-06,6.80703033140162e-06,1.251792400580598e-05,1.0961349516946939e-06
17.0,0.00014129524004031433,0.00026950690728351603,1.3083552112535964e-05,0.00022152972815092653,0.00043972814455628395,3.331283551233355e-06
18.0,0.00010056037014659996,0.0001925013797496151,8.61936112602885e-06,7.882787940616254e-06,1.4911423932062462e-05,8.541524607608153e-07
19.0,9.375851664053129e-05,0.0001795111323340425,8.00589914661719e-06,1.4972143617342226e-05,2.939841397164855e-05,5.458716714201728e-07
20.0,9.753122562577816e-05,0.0001861698930819792,8.892561628799942e-06,3.5818113701679977e-06,6.694479907309869e-06,4.6914257723074115e-07
21.0,8.905780208396736e-05,0.00017120376444597842,6.9118331319770555e-06,8.49811294756364e-06,1.661526766838506e-05,3.8095853938102664e-07
22.0,0.00020783519727283695,0.00038342064151887495,3.224974429082273e-05,8.745171726332046e-06,1.5881247236393392e-05,1.6090941699076211e-06
23.0,9.486114464904273e-05,0.00018255900935777665,7.1632813008433035e-06,4.5690608203585725e-06,8.682812222104985e-06,4.5530958914241637e-07
24.0,8.76251897263566e-05,0.00016604870663500053,9.201669110633925e-06,1.335713932348881e-05,2.637057696119882e-05,3.4370026469332515e-07
25.0,0.00010375905679026031,0.00020005381052845629,7.464304598458731e-06,1.7615133401704952e-05,3.416365143493749e-05,1.0666179832696798e-06
26.0,8.447611938954982e-05,0.0001610600988782202,7.892128576515146e-06,4.770943633047864e-06,9.30409714783309e-06,2.3779050195571472e-07
27.0,8.560119240346773e-05,0.00016475564807714158,6.446736643439215e-06,8.329011507157702e-06,1.646020245971158e-05,1.9782058302553196e-07
28.0,0.00018810759390671717,0.0003106435291676987,6.557165167872102e-05,8.786985745246056e-06,1.6479614714626223e-05,1.094356434805377e-06
29.0,0.0002381495609124677,0.00045339842178626475,2.2900688164865124e-05,3.305925929453224e-05,6.416838004952297e-05,1.9501364931784337e-06
30.0,9.823573056826486e-05,0.00018907971187470907,7.391749525817313e-06,9.409200174559373e-06,1.8293856555828825e-05,5.24545498592488e-07
31.0,0.0008996991747712401,0.001692841936812508,0.00010655640182199265,4.051033829455264e-05,6.508097430923954e-05,1.593969682289753e-05
32.0,0.00010282134992330009,0.0001941249108607111,1.1517773921524883e-05,6.384514108503936e-06,1.1648562576738186e-05,1.1204642760276329e-06
