run_name,gamma,nu,quantile,rows,threshold,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,alerts,alerts_per_10000_events,eligible,selected
g0.01_nu0.001_q0.999,0.01,0.001,0.999,9050126,-249.80228576915508,0.9420546189080682,0.8440549966636702,0.9913771286547911,0.9118036101432752,0.8753060632328067,0.9461595602394329,0.8350179470137757,0.07929911950561848,0.00862287134520889,2710778,5814935,500835,23578,3211613,3548.694239174129,False,False
g0.01_nu0.001_q0.99925,0.01,0.001,0.99925,9050126,-249.80228576915508,0.9420546189080682,0.8440549966636702,0.9913771286547911,0.9118036101432752,0.8753060632328067,0.9461595602394329,0.8350179470137757,0.07929911950561848,0.00862287134520889,2710778,5814935,500835,23578,3211613,3548.694239174129,False,False
g0.01_nu0.001_q0.9995,0.01,0.001,0.9995,9050126,-249.77590558045108,0.9420790384575861,0.8441135110425773,0.9913763972211372,0.9118374420425771,0.875353043523104,0.9461595602394329,0.8350179470137757,0.07926381106341744,0.008623602778862738,2710776,5815158,500612,23580,3211388,3548.4456238509824,False,False
g0.01_nu0.002_q0.999,0.01,0.002,0.999,9050126,-503.41781300004186,0.9316409517392354,0.8199926554530237,0.9913763972211372,0.8975767398815604,0.8555571704447523,0.9465222832983486,0.8335525897976729,0.0942209738480027,0.008623602778862738,2710776,5720692,595078,23580,3305854,3652.826491034489,False,False
g0.01_nu0.002_q0.99925,0.01,0.002,0.99925,9050126,-503.1993556464767,0.9317742095524416,0.8202919040091411,0.9913763972211372,0.8977559875767593,0.855805567251717,0.9465222832983486,0.8335525897976729,0.09403002325923839,0.008623602778862738,2710776,5721898,593872,23580,3304648,3651.4939129024283,False,False
g0.01_nu0.002_q0.9995,0.01,0.002,0.9995,9050126,-502.89709023120645,0.931198416464036,0.820467106219635,0.9886064579740166,0.8967231579944295,0.8540685877787128,0.9465222832983486,0.8335525897976729,0.09365588043896468,0.01139354202598345,2703202,5724261,591509,31154,3294711,3640.513955275319,False,False
g0.02_nu0.001_q0.999,0.02,0.001,0.999,9050126,-144.71452059946216,0.9309211827548036,0.8162541976120917,0.9954479226552797,0.8969891201007085,0.8552151743597652,0.9497808251341227,0.8528877355065387,0.09701509079652995,0.004552077344720292,2721909,5703045,612725,12447,3334634,3684.6271532573137,False,False
g0.02_nu0.001_q0.99925,0.02,0.001,0.99925,9050126,-144.7143886356972,0.9312131123920263,0.8169016113493738,0.9954475569384528,0.8973797406214548,0.8557546639038294,0.9497808251341227,0.8528877355065387,0.09659661450622806,0.004552443061547216,2721908,5705688,610082,12448,3331990,3681.705646971103,False,False
g0.02_nu0.001_q0.9995,0.02,0.001,0.9995,9050126,-144.7100256830838,0.93122736633722,0.8169343808798057,0.9954453626374913,0.8973986207192141,0.8557804814802392,0.9497808251341227,0.8528877355065387,0.0965752394403216,0.0045546373625087585,2721902,5705823,609947,12454,3331849,3681.549848035265,False,False
g0.02_nu0.002_q0.999,0.02,0.002,0.999,9050126,-291.95179221192575,0.9304429573687704,0.8150561332229289,0.9957192845408571,0.8963752234229198,0.8543999966345174,0.9488107743883585,0.8478641872775392,0.09781784327168343,0.004280715459142848,2722651,5697975,617795,11705,3340446,3691.049163293417,False,False
g0.02_nu0.002_q0.99925,0.02,0.002,0.99925,9050126,-291.90567878051877,0.9305091442925767,0.8152126948918432,0.9956991701153763,0.896461743341763,0.8545170318451921,0.9488107743883585,0.8478641872775392,0.09771429295240328,0.0043008298846236555,2722596,5698629,617141,11760,3339737,3690.26574878626,False,False
g0.02_nu0.002_q0.9995,0.02,0.002,0.9995,9050126,-291.7335308474381,0.9306467114380507,0.8155524346981559,0.9956300496350877,0.8966390941412637,0.8547536029228656,0.9488107743883585,0.8478641872775392,0.09748724225233028,0.00436995036491225,2722407,5700063,615707,11949,3338114,3688.472403588635,False,False
g0.04_nu0.001_q0.999,0.04,0.001,0.999,9050126,-85.5049178517365,0.7215782410101251,0.520426453763404,0.9998138501350958,0.6845359580521734,0.5591606232764605,0.9372832064492483,0.8397304227530945,0.3988813715508956,0.00018614986490420415,2733847,3796527,2519243,509,5253090,5804.438523839337,True,False
g0.04_nu0.001_q0.99925,0.04,0.001,0.99925,9050126,-85.5048662986886,0.7218069671074193,0.5206316106204127,0.9998138501350958,0.6847134061063624,0.5594233866746464,0.9372832064492483,0.8397304227530945,0.39855362054033,0.00018614986490420415,2733847,3798597,2517173,509,5251020,5802.151262866395,True,True
g0.04_nu0.001_q0.9995,0.04,0.001,0.9995,9050126,-85.5048662986886,0.7218069671074193,0.5206316106204127,0.9998138501350958,0.6847134061063624,0.5594233866746464,0.9372832064492483,0.8397304227530945,0.39855362054033,0.00018614986490420415,2733847,3798597,2517173,509,5251020,5802.151262866395,True,False
g0.04_nu0.002_q0.999,0.04,0.002,0.999,9050126,-172.95239206059318,0.7192481077059037,0.5183455936863763,0.9998145815687497,0.682733602562665,0.5564889496471516,0.9359957096863847,0.8385900249951835,0.4022206318469482,0.00018541843125035657,2733849,3775437,2540333,507,5274182,5827.744276709518,True,False
g0.04_nu0.002_q0.99925,0.04,0.002,0.99925,9050126,-172.95197870109283,0.7192968363092404,0.5183889387059395,0.9998145815687497,0.6827712001989986,0.5565447425103546,0.9359957096863847,0.8385900249951835,0.40215080663165376,0.00018541843125035657,2733849,3775878,2539892,507,5273741,5827.256990676152,True,False
